,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t147,-1.0417063,-7.686229,27.111595,39.571663,20.79081,-7.667707,-4.201445,23.458496,15.747365,-3.9078643,1.7002127,-4.239961,-6.6049433,19.106659,7.6791525
t144,-1.1141506,-7.7433977,26.804604,39.277306,21.903475,-7.6859546,-4.039286,22.253668,17.210257,-3.681643,2.673072,-4.4463716,-6.554729,18.892288,7.647626
t145,-1.0980829,-7.718232,26.661743,39.13208,21.789288,-7.65022,-4.029597,22.252083,17.098309,-3.6839948,2.650924,-4.4223876,-6.5227904,18.827991,7.6168103
t141,-1.1096131,-7.7452865,26.785627,39.286232,21.888706,-7.6850886,-4.043611,22.274357,17.179203,-3.687187,2.6511376,-4.4483123,-6.5530686,18.910646,7.6566405
t18,-1.1141806,-6.9363794,22.941563,33.14926,20.310785,-6.5074434,-3.3743865,18.854864,15.550494,-3.192682,3.4725125,-3.832215,-5.2869544,17.04967,8.194501
t25,-1.7182788,-7.441917,23.092049,32.38519,25.11466,-6.475175,-2.7240863,14.221988,20.372166,-2.5084865,6.4326887,-4.3690543,-4.960723,16.306679,9.750019
t30,-2.0878859,-8.1873045,26.840433,35.947437,28.188953,-7.3418403,-3.0035927,14.363326,23.7378,-2.4476273,6.151642,-5.0503826,-5.76027,18.168125,10.605996
t31,-2.1391704,-8.335918,26.633821,36.932575,28.664139,-7.419857,-3.062683,14.811291,23.486443,-2.5458488,6.4566383,-5.1130996,-5.7819934,18.281002,10.19635
t3,-1.6958201,-4.8742666,18.143415,22.807562,18.394192,-4.787556,-1.8590313,5.7626276,15.716792,-0.9566458,2.675945,-3.367028,-4.231777,10.386739,5.4320345
t1,-4.0067286,-7.8176293,36.14932,40.733315,32.721905,-9.755462,-3.0333202,1.5942789,33.025066,-0.31030783,0.54723,-7.08452,-9.492252,15.926368,5.975182
