,accepted_family,Genus,accepted_species,accepted_species_w_author
16391,Apocynaceae,Tabernaemontana,Tabernaemontana pauciflora,Tabernaemontana pauciflora Blume
16396,Apocynaceae,Tabernaemontana,Tabernaemontana peduncularis,Tabernaemontana peduncularis Wall.
16403,Apocynaceae,Tabernaemontana,Tabernaemontana penduliflora,Tabernaemontana penduliflora K.Schum.
16411,Apocynaceae,Tabernaemontana,Tabernaemontana persicariifolia,Tabernaemontana persicariifolia Jacq.
16415,Apocynaceae,Tabernaemontana,Tabernaemontana peschiera,Tabernaemontana peschiera ined.
16419,Apocynaceae,Tabernaemontana,Tabernaemontana polyneura,Tabernaemontana polyneura (King & Gamble) D.J.Middleton
16436,Apocynaceae,Tabernaemontana,Tabernaemontana psorocarpa,Tabernaemontana psorocarpa (Pierre ex Stapf) Pichon
16447,Apocynaceae,Tabernaemontana,Tabernaemontana retusa,Tabernaemontana retusa (Lam.) Pichon
16460,Apocynaceae,Tabernaemontana,Tabernaemontana robinsonii,Tabernaemontana robinsonii (Woodson) A.O.Simões & M.E.Endress
16466,Apocynaceae,Tabernaemontana,Tabernaemontana rupicola,Tabernaemontana rupicola Benth.
16468,Apocynaceae,Tabernaemontana,Tabernaemontana sananho,Tabernaemontana sananho Ruiz & Pav.
16474,Apocynaceae,Tabernaemontana,Tabernaemontana sessilifolia,Tabernaemontana sessilifolia Baker
16486,Apocynaceae,Tabernaemontana,Tabernaemontana siphilitica,Tabernaemontana siphilitica (L.f.) Leeuwenb.
16507,Apocynaceae,Tabernaemontana,Tabernaemontana solanifolia,Tabernaemontana solanifolia A.DC.
16521,Apocynaceae,Tabernaemontana,Tabernaemontana sphaerocarpa,Tabernaemontana sphaerocarpa Blume
16536,Apocynaceae,Tabernaemontana,Tabernaemontana stapfiana,Tabernaemontana stapfiana Britten
16555,Apocynaceae,Tabernaemontana,Tabernaemontana stellata,Tabernaemontana stellata Pichon
16556,Apocynaceae,Tabernaemontana,Tabernaemontana ternifolia,Tabernaemontana ternifolia D.J.Middleton
16557,Apocynaceae,Tabernaemontana,Tabernaemontana tomentosa,Tabernaemontana tomentosa (Greenm.) A.O.Simões & M.E.Endress
16559,Apocynaceae,Tabernaemontana,Tabernaemontana undulata,Tabernaemontana undulata Vahl
16570,Apocynaceae,Tabernaemontana,Tabernaemontana vanheurckii,Tabernaemontana vanheurckii Müll.Arg.
16587,Apocynaceae,Tabernaemontana,Tabernaemontana ventricosa,Tabernaemontana ventricosa Hochst. ex A.DC.
16596,Apocynaceae,Tabernanthe,Tabernanthe iboga,Tabernanthe iboga Baill.
16616,Rubiaceae,Tamilnadia,Tamilnadia uliginosa,Tamilnadia uliginosa (Retz.) Tirveng. & Sastre
16632,Rubiaceae,Tarenna,Tarenna asiatica,Tarenna asiatica (L.) Kuntze ex K.Schum.
16633,Rubiaceae,Tarenna,Tarenna attenuata,Tarenna attenuata (Hook.f.) Hutch.
16697,Rubiaceae,Tarenna,Tarenna ebracteata,Tarenna ebracteata (Elmer) Elmer
16707,Rubiaceae,Tarenna,Tarenna gracilipes,Tarenna gracilipes (Hayata) Ohwi
16719,Rubiaceae,Tarenna,Tarenna vanprukii,Tarenna vanprukii Craib
16720,Apocynaceae,Telosma,Telosma pallida,Telosma pallida (Roxb.) Craib
16726,Apocynaceae,Telosma,Telosma procumbens,Telosma procumbens (Blanco) Merr.
16744,Apocynaceae,Thevetia,Thevetia ahouai,Thevetia ahouai (L.) Vahl
16757,Rubiaceae,Thiollierea,Thiollierea montana,Thiollierea montana (Vieill.) Paudyal & Delprete
16759,Rubiaceae,Timonius,Timonius kaniensis,Timonius kaniensis Valeton
16761,Rubiaceae,Timonius,Timonius timon,Timonius timon (Spreng.) Merr.
16764,Rubiaceae,Tinadendron,Tinadendron noumeanum,Tinadendron noumeanum (Baill.) Achille
16771,Rubiaceae,Tocoyena,Tocoyena bullata,Tocoyena bullata (Vell.) Mart.
16772,Rubiaceae,Tocoyena,Tocoyena formosa,Tocoyena formosa (Cham. & Schltdl.) K.Schum.
16788,Apocynaceae,Trachelospermum,Trachelospermum asiaticum,Trachelospermum asiaticum (Siebold & Zucc.) Nakai
16860,Apocynaceae,Trachelospermum,Trachelospermum axillare,Trachelospermum axillare Hook.f.
16874,Apocynaceae,Trachelospermum,Trachelospermum jasminoides,Trachelospermum jasminoides (Lindl.) Lem.
16915,Apocynaceae,Trachelospermum,Trachelospermum lucidum,Trachelospermum lucidum (D.Don) K.Schum.
16921,Rubiaceae,Tricalysia,Tricalysia okelensis,Tricalysia okelensis Hiern
16923,Gentianaceae,Tripterospermum,Tripterospermum chinense,Tripterospermum chinense (Migo) Harry Sm.
16931,Gentianaceae,Tripterospermum,Tripterospermum lanceolatum,Tripterospermum lanceolatum (Hayata) H.Hara ex Satake
16950,Gentianaceae,Tripterospermum,Tripterospermum taiwanense,Tripterospermum taiwanense (Masam.) Satake
16956,Gentianaceae,Tripterospermum,Tripterospermum trinervium,Tripterospermum trinervium (Thunb.) H.Ohashi & H.Nakai
16985,Rubiaceae,Uncaria,Uncaria acida,Uncaria acida (W.Hunter) Roxb.
16987,Rubiaceae,Uncaria,Uncaria africana,Uncaria africana G.Don
16992,Rubiaceae,Uncaria,Uncaria attenuata,Uncaria attenuata Korth.
17009,Rubiaceae,Uncaria,Uncaria bernaysii,Uncaria bernaysii F.Muell.
17011,Rubiaceae,Uncaria,Uncaria borneensis,Uncaria borneensis Havil.
17017,Rubiaceae,Uncaria,Uncaria callophylla,Uncaria callophylla Blume ex Korth.
17032,Rubiaceae,Uncaria,Uncaria canescens,Uncaria canescens Korth.
17034,Rubiaceae,Uncaria,Uncaria cordata,Uncaria cordata (Lour.) Merr.
17038,Rubiaceae,Uncaria,Uncaria elliptica,Uncaria elliptica R.Br. ex G.Don
17068,Rubiaceae,Uncaria,Uncaria gambir,Uncaria gambir (W.Hunter) Roxb.
17088,Rubiaceae,Uncaria,Uncaria guianensis,Uncaria guianensis (Aubl.) J.F.Gmel.
17102,Rubiaceae,Uncaria,Uncaria hirsuta,Uncaria hirsuta Havil.
17124,Rubiaceae,Uncaria,Uncaria homomalla,Uncaria homomalla Miq.
17130,Rubiaceae,Uncaria,Uncaria laevigata,Uncaria laevigata Wall. ex G.Don
17133,Rubiaceae,Uncaria,Uncaria lancifolia,Uncaria lancifolia Hutch.
17137,Rubiaceae,Uncaria,Uncaria lanosa,Uncaria lanosa Wall.
17152,Rubiaceae,Uncaria,Uncaria longiflora,Uncaria longiflora (Poir.) Merr.
17162,Rubiaceae,Uncaria,Uncaria macrophylla,Uncaria macrophylla Wall.
17173,Rubiaceae,Uncaria,Uncaria orientalis,Uncaria orientalis Guillaumin
17180,Rubiaceae,Uncaria,Uncaria perrottetii,Uncaria perrottetii (A.Rich.) Merr.
17181,Rubiaceae,Uncaria,Uncaria rhynchophylla,Uncaria rhynchophylla (Miq.) Miq.
17237,Rubiaceae,Uncaria,Uncaria scandens,Uncaria scandens (Sm.) Wall.
17241,Rubiaceae,Uncaria,Uncaria sessilifructus,Uncaria sessilifructus Roxb.
17245,Rubiaceae,Uncaria,Uncaria sinensis,Uncaria sinensis (Oliv.) Havil.
17273,Rubiaceae,Uncaria,Uncaria sterrophylla,Uncaria sterrophylla Merr. & L.M.Perry
17274,Rubiaceae,Uncaria,Uncaria tomentosa,Uncaria tomentosa (Willd. ex Schult.) DC.
17328,Rubiaceae,Uncaria,Uncaria velutina,Uncaria velutina Havil.
17333,Apocynaceae,Urceola,Urceola laevigata,Urceola laevigata (Juss.) D.J.Middleton & Livsh.
17343,Apocynaceae,Urceola,Urceola micrantha,Urceola micrantha (Wall. ex G.Don) D.J.Middleton
17352,Apocynaceae,Urceola,Urceola rosea,Urceola rosea (Hook. & Arn.) D.J.Middleton
17358,Gentianaceae,Utania,Utania racemosa,Utania racemosa (Jack ex Wall.) Sugumaran
17369,Apocynaceae,Vallaris,Vallaris solanacea,Vallaris solanacea (Roth ex Roem. & Schult.) Kuntze
17373,Apocynaceae,Vallesia,Vallesia antillana,Vallesia antillana Woodson
17376,Apocynaceae,Vallesia,Vallesia glabra,Vallesia glabra (Cav.) Link
17397,Rubiaceae,Vangueria,Vangueria agrestis,Vangueria agrestis (Schweinf. ex Hiern) Lantz
17403,Rubiaceae,Vangueria,Vangueria infausta,Vangueria infausta Burch.
17404,Gentianaceae,Veratrilla,Veratrilla baillonii,Veratrilla baillonii Franch.
17411,Apocynaceae,Vinca,Vinca difformis,Vinca difformis Pourr.
17429,Apocynaceae,Vinca,Vinca erecta,Vinca erecta Regel & Schmalh.
17492,Apocynaceae,Vinca,Vinca herbacea,Vinca herbacea Waldst. & Kit.
17528,Apocynaceae,Vinca,Vinca major,Vinca major L.
17570,Apocynaceae,Vinca,Vinca minor,Vinca minor L.
17619,Apocynaceae,Vincetoxicum,Vincetoxicum amplexicaule,Vincetoxicum amplexicaule Siebold & Zucc.
17631,Apocynaceae,Vincetoxicum,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium Franch. & Sav.
17636,Apocynaceae,Vincetoxicum,Vincetoxicum atratum,Vincetoxicum atratum (Bunge) C.Morren & Decne.
17686,Apocynaceae,Vincetoxicum,Vincetoxicum auriculatum,Vincetoxicum auriculatum (Royle ex Wight) Kuntze
17697,Apocynaceae,Vincetoxicum,Vincetoxicum floribundum,Vincetoxicum floribundum (Miq.) Franch. & Sav.
17701,Apocynaceae,Vincetoxicum,Vincetoxicum forrestii,Vincetoxicum forrestii (Schltr.) C.Y.Wu & D.Z.Li
17717,Apocynaceae,Vincetoxicum,Vincetoxicum glaucescens,Vincetoxicum glaucescens (Decne.) C.Y.Wu & D.Z.Li
17727,Apocynaceae,Vincetoxicum,Vincetoxicum hemsleyanum,Vincetoxicum hemsleyanum (Warb.) Meve & Liede
17736,Apocynaceae,Vincetoxicum,Vincetoxicum hirsutum,Vincetoxicum hirsutum (Wall.) Kuntze
17765,Apocynaceae,Vincetoxicum,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria Medik.
17772,Apocynaceae,Vincetoxicum,Vincetoxicum indicum,Vincetoxicum indicum (Burm.f.) Mabb.
17801,Apocynaceae,Vincetoxicum,Vincetoxicum japonicum,Vincetoxicum japonicum C.Morren & Decne.
17820,Apocynaceae,Vincetoxicum,Vincetoxicum kerrii,Vincetoxicum kerrii (Craib) A.Kidyoo
17823,Apocynaceae,Vincetoxicum,Vincetoxicum mongolicum,Vincetoxicum mongolicum Maxim.
17845,Apocynaceae,Vincetoxicum,Vincetoxicum mukdenense,Vincetoxicum mukdenense Kitag.
17857,Apocynaceae,Vincetoxicum,Vincetoxicum nigrum,Vincetoxicum nigrum (L.) Moench
17858,Apocynaceae,Vincetoxicum,Vincetoxicum paniculatum,Vincetoxicum paniculatum (R.Br.) Kuntze
17860,Apocynaceae,Vincetoxicum,Vincetoxicum polyanthum,Vincetoxicum polyanthum Kuntze
17863,Apocynaceae,Vincetoxicum,Vincetoxicum scandens,Vincetoxicum scandens Sommier & Levier
17874,Apocynaceae,Vincetoxicum,Vincetoxicum shaanxiense,Vincetoxicum shaanxiense Meve & Liede
17877,Apocynaceae,Vincetoxicum,Vincetoxicum spirale,Vincetoxicum spirale (Forssk.) D.Z.Li
17878,Apocynaceae,Vincetoxicum,Vincetoxicum stauntonii,Vincetoxicum stauntonii (Decne.) C.Y.Wu & D.Z.Li
17885,Apocynaceae,Vincetoxicum,Vincetoxicum sublanceolatum,Vincetoxicum sublanceolatum (Miq.) Maxim.
17919,Apocynaceae,Vincetoxicum,Vincetoxicum sylvaticum,Vincetoxicum sylvaticum (Decne.) Kuntze
17921,Apocynaceae,Vincetoxicum,Vincetoxicum tanakae,Vincetoxicum tanakae (Maxim.) Franch. & Sav.
17944,Apocynaceae,Vincetoxicum,Vincetoxicum versicolor,Vincetoxicum versicolor (Bunge) Decne.
17953,Apocynaceae,Voacanga,Voacanga africana,Voacanga africana Stapf
17994,Apocynaceae,Voacanga,Voacanga chalotiana,Voacanga chalotiana Pierre ex Stapf
18009,Apocynaceae,Voacanga,Voacanga globosa,Voacanga globosa (Blanco) Merr.
18011,Apocynaceae,Voacanga,Voacanga grandifolia,Voacanga grandifolia (Miq.) Rolfe
18017,Apocynaceae,Voacanga,Voacanga thouarsii,Voacanga thouarsii Roem. & Schult.
18030,Rubiaceae,Wendlandia,Wendlandia formosana,Wendlandia formosana Cowan
18032,Rubiaceae,Wendlandia,Wendlandia tinctoria,Wendlandia tinctoria (Roxb.) DC.
18039,Apocynaceae,Wrightia,Wrightia antidysenterica,Wrightia antidysenterica (L.) R.Br.
18065,Apocynaceae,Wrightia,Wrightia arborea,Wrightia arborea (Dennst.) Mabb.
18068,Apocynaceae,Wrightia,Wrightia pubescens,Wrightia pubescens R.Br.
18070,Apocynaceae,Wrightia,Wrightia religiosa,Wrightia religiosa (Teijsm. & Binn.) Benth. ex Kurz
18071,Apocynaceae,Wrightia,Wrightia tinctoria,Wrightia tinctoria (Roxb.) R.Br.
18099,Gentianaceae,Xestaea,Xestaea lisianthoides,Xestaea lisianthoides Griseb.
18108,Apocynaceae,Xysmalobium,Xysmalobium undulatum,Xysmalobium undulatum (L.) W.T.Aiton
18114,Gentianaceae,Zeltnera,Zeltnera muehlenbergii,Zeltnera muehlenbergii (Griseb.) G.Mans.
